ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2010-01-04,6.79251909074707,-2.1535975012432287,15.317231410572091,6.79251909074707,6.79251909074707,-0.3775519146085174,-0.3775519146085174,-0.3775519146085174,-0.06976821796408558,-0.06976821796408558,-0.06976821796408558,-0.30778369664443184,-0.30778369664443184,-0.30778369664443184,0.0,0.0,0.0,6.4149671761385525
2010-01-05,6.806098875942878,-2.230073761978772,14.974964362313957,6.806098875942878,6.806098875942878,-0.5013325039625793,-0.5013325039625793,-0.5013325039625793,-0.16578344534361966,-0.16578344534361966,-0.16578344534361966,-0.3355490586189596,-0.3355490586189596,-0.3355490586189596,0.0,0.0,0.0,6.304766371980298
2010-01-06,6.819678661138685,-2.5979608810506307,14.728215865853416,6.819678661138685,6.819678661138685,-0.49331759379352086,-0.49331759379352086,-0.49331759379352086,-0.1253860391461357,-0.1253860391461357,-0.1253860391461357,-0.36793155464738514,-0.36793155464738514,-0.36793155464738514,0.0,0.0,0.0,6.326361067345164
2010-01-07,6.833258446334493,-2.7950493870753106,15.04450500551915,6.833258446334493,6.833258446334493,-0.5676855535217424,-0.5676855535217424,-0.5676855535217424,-0.16328355908727726,-0.16328355908727726,-0.16328355908727726,-0.40440199443446506,-0.40440199443446506,-0.40440199443446506,0.0,0.0,0.0,6.2655728928127505
2010-01-08,6.846838231530299,-2.7644312275607383,14.835864502161218,6.846838231530299,6.846838231530299,-0.6745342020960179,-0.6745342020960179,-0.6745342020960179,-0.2303207640964534,-0.2303207640964534,-0.2303207640964534,-0.44421343799956453,-0.44421343799956453,-0.44421343799956453,0.0,0.0,0.0,6.172304029434281
2010-01-11,6.887577587117722,-1.8512063617847658,14.676623797320886,6.887577587117722,6.887577587117722,-0.6430303023768594,-0.6430303023768594,-0.6430303023768594,-0.06976821796319405,-0.06976821796319405,-0.06976821796319405,-0.5732620844136653,-0.5732620844136653,-0.5732620844136653,0.0,0.0,0.0,6.244547284740863
2010-01-12,6.901157372313528,-2.712792880412042,15.047958746431462,6.901157372313528,6.901157372313528,-0.7809671641041318,-0.7809671641041318,-0.7809671641041318,-0.16578344534328265,-0.16578344534328265,-0.16578344534328265,-0.6151837187608491,-0.6151837187608491,-0.6151837187608491,0.0,0.0,0.0,6.120190208209396
2010-01-13,6.914737157509336,-2.4484022611784884,14.571079334115224,6.914737157509336,6.914737157509336,-0.7794947554703524,-0.7794947554703524,-0.7794947554703524,-0.12538603914593438,-0.12538603914593438,-0.12538603914593438,-0.654108716324418,-0.654108716324418,-0.654108716324418,0.0,0.0,0.0,6.135242402038983
2010-01-14,6.928316942705143,-3.457322563718718,14.240348472251588,6.928316942705143,6.928316942705143,-0.8517524606171917,-0.8517524606171917,-0.8517524606171917,-0.1632835590873995,-0.1632835590873995,-0.1632835590873995,-0.6884689015297921,-0.6884689015297921,-0.6884689015297921,0.0,0.0,0.0,6.076564482087951
2010-01-15,6.941896727900951,-2.8791001812735355,14.527420067499365,6.941896727900951,6.941896727900951,-0.9470125077710534,-0.9470125077710534,-0.9470125077710534,-0.23032076409615432,-0.23032076409615432,-0.23032076409615432,-0.7166917436748991,-0.7166917436748991,-0.7166917436748991,0.0,0.0,0.0,5.994884220129897
2010-01-19,6.996215868684179,-3.1759737232275795,14.978560286257744,6.996215868684179,6.996215868684179,-0.9050283183165305,-0.9050283183165305,-0.9050283183165305,-0.16578344534350395,-0.16578344534350395,-0.16578344534350395,-0.7392448729730264,-0.7392448729730264,-0.7392448729730264,0.0,0.0,0.0,6.091187550367649
2010-01-20,7.009795653879987,-3.1560622548304047,15.479001377922852,7.009795653879987,7.009795653879987,-0.8417143529530086,-0.8417143529530086,-0.8417143529530086,-0.12538603914599084,-0.12538603914599084,-0.12538603914599084,-0.7163283138070179,-0.7163283138070179,-0.7163283138070179,0.0,0.0,0.0,6.168081300926978
2010-01-21,7.023375439075794,-2.282228197723085,15.478856879001208,7.023375439075794,7.023375439075794,-0.8436331598885439,-0.8436331598885439,-0.8436331598885439,-0.1632835590875217,-0.1632835590875217,-0.1632835590875217,-0.6803496008010224,-0.6803496008010224,-0.6803496008010224,0.0,0.0,0.0,6.17974227918725
2010-01-22,7.036955224271602,-2.1065792938426187,15.17394841824554,7.036955224271602,7.036955224271602,-0.8612852187598721,-0.8612852187598721,-0.8612852187598721,-0.23032076409672908,-0.23032076409672908,-0.23032076409672908,-0.6309644546631429,-0.6309644546631429,-0.6309644546631429,0.0,0.0,0.0,6.17567000551173
2010-01-25,7.077694579859023,-2.235634354579563,15.934776532442099,7.077694579859023,7.077694579859023,-0.4735255297119414,-0.4735255297119414,-0.4735255297119414,-0.06976821796401372,-0.06976821796401372,-0.06976821796401372,-0.4037573117479276,-0.4037573117479276,-0.4037573117479276,0.0,0.0,0.0,6.604169050147082
2010-01-26,7.091274365054831,-2.155172262951398,15.157238123608275,7.091274365054831,7.091274365054831,-0.46960317835016085,-0.46960317835016085,-0.46960317835016085,-0.1657834453433223,-0.1657834453433223,-0.1657834453433223,-0.3038197330068386,-0.3038197330068386,-0.3038197330068386,0.0,0.0,0.0,6.6216711867046705
2010-01-27,7.104854150250637,-1.2876006462293983,15.608789192511232,7.104854150250637,7.104854150250637,-0.319082672080641,-0.319082672080641,-0.319082672080641,-0.12538603914604735,-0.12538603914604735,-0.12538603914604735,-0.19369663293459366,-0.19369663293459366,-0.19369663293459366,0.0,0.0,0.0,6.7857714781699965
2010-01-28,7.118433935446445,-2.0580177945099973,15.428008669931161,7.118433935446445,7.118433935446445,-0.23829922733959738,-0.23829922733959738,-0.23829922733959738,-0.16328355908733397,-0.16328355908733397,-0.16328355908733397,-0.07501566825226338,-0.07501566825226338,-0.07501566825226338,0.0,0.0,0.0,6.880134708106848
2010-01-29,7.132013720642252,-2.1470121670893785,15.497237112426632,7.132013720642252,7.132013720642252,-0.1800103483536464,-0.1800103483536464,-0.1800103483536464,-0.2303207640962952,-0.2303207640962952,-0.2303207640962952,0.05031041574264881,0.05031041574264881,0.05031041574264881,0.0,0.0,0.0,6.952003372288606
2010-02-01,7.172753076229674,-1.5432385760333769,16.0802124386787,7.172753076229674,7.172753076229674,0.3737763528028537,0.3737763528028537,0.3737763528028537,-0.06976821796442356,-0.06976821796442356,-0.06976821796442356,0.44354457076727727,0.44354457076727727,0.44354457076727727,0.0,0.0,0.0,7.546529429032528
2010-02-02,7.186332861425481,-0.9889833663889177,17.46223199138898,7.186332861425481,7.186332861425481,0.40621659363913065,0.40621659363913065,0.40621659363913065,-0.16578344534338832,-0.16578344534338832,-0.16578344534338832,0.5720000389825189,0.5720000389825189,0.5720000389825189,0.0,0.0,0.0,7.592549455064612
2010-02-03,7.199912646621289,-0.9247573224192573,16.61852767463073,7.199912646621289,7.199912646621289,0.5693408385586297,0.5693408385586297,0.5693408385586297,-0.1253860391461092,-0.1253860391461092,-0.1253860391461092,0.6947268777047388,0.6947268777047388,0.6947268777047388,0.0,0.0,0.0,7.769253485179919
2010-02-04,7.213492431817097,-0.6490742856523605,16.11877946971571,7.213492431817097,7.213492431817097,0.6457762604569277,0.6457762604569277,0.6457762604569277,-0.16328355908752742,-0.16328355908752742,-0.16328355908752742,0.809059819544455,0.809059819544455,0.809059819544455,0.0,0.0,0.0,7.859268692274025
2010-02-05,7.227072217012903,-0.9823415385923051,16.472022651519723,7.227072217012903,7.227072217012903,0.6820884612110295,0.6820884612110295,0.6820884612110295,-0.23032076409613098,-0.23032076409613098,-0.23032076409613098,0.9124092253071605,0.9124092253071605,0.9124092253071605,0.0,0.0,0.0,7.909160678223933
2010-02-08,7.267811572600326,-0.2509569332712667,16.427752603942555,7.267811572600326,7.267811572600326,1.0632889817657665,1.0632889817657665,1.0632889817657665,-0.06976821796353203,-0.06976821796353203,-0.06976821796353203,1.1330571997292986,1.1330571997292986,1.1330571997292986,0.0,0.0,0.0,8.331100554366092
2010-02-09,7.2813913577961324,-0.5775707517413428,17.33620112696593,7.2813913577961324,7.2813913577961324,1.0043822136841543,1.0043822136841543,1.0043822136841543,-0.1657834453432066,-0.1657834453432066,-0.1657834453432066,1.1701656590273608,1.1701656590273608,1.1701656590273608,0.0,0.0,0.0,8.285773571480286
2010-02-10,7.29497114299194,-0.10610220936239162,16.343586582375323,7.29497114299194,7.29497114299194,1.0611172952616392,1.0611172952616392,1.0611172952616392,-0.12538603914590787,-0.12538603914590787,-0.12538603914590787,1.186503334407547,1.186503334407547,1.186503334407547,0.0,0.0,0.0,8.356088438253579
2010-02-11,7.308550928187747,-0.7085977070561086,17.340678671158702,7.308550928187747,7.308550928187747,1.0178045752063465,1.0178045752063465,1.0178045752063465,-0.1632835590875784,-0.1632835590875784,-0.1632835590875784,1.181088134293925,1.181088134293925,1.181088134293925,0.0,0.0,0.0,8.326355503394094
2010-02-12,7.322130713383555,-0.749383531599099,17.637877513998717,7.322130713383555,7.322130713383555,0.9230251877129538,0.9230251877129538,0.9230251877129538,-0.2303207640958319,-0.2303207640958319,-0.2303207640958319,1.1533459518087859,1.1533459518087859,1.1533459518087859,0.0,0.0,0.0,8.24515590109651
2010-02-16,7.3764498541667844,-1.0832380331355504,16.51773628975138,7.3764498541667844,7.3764498541667844,0.65687294856896,0.65687294856896,0.65687294856896,-0.16578344534367565,-0.16578344534367565,-0.16578344534367565,0.8226563939126356,0.8226563939126356,0.8226563939126356,0.0,0.0,0.0,8.033322802735745
2010-02-17,7.390029639362591,-0.6812661612809775,16.880940391773272,7.390029639362591,7.390029639362591,0.564292169572801,0.564292169572801,0.564292169572801,-0.12538603914623292,-0.12538603914623292,-0.12538603914623292,0.689678208719034,0.689678208719034,0.689678208719034,0.0,0.0,0.0,7.954321808935392
2010-02-18,7.4036094245583985,-1.8225632528130584,16.416405701548072,7.4036094245583985,7.4036094245583985,0.3765473940353798,0.3765473940353798,0.3765473940353798,-0.16328355908739067,-0.16328355908739067,-0.16328355908739067,0.5398309531227705,0.5398309531227705,0.5398309531227705,0.0,0.0,0.0,7.780156818593778
2010-02-19,7.4171892097542065,-1.525632499501661,15.988807760159931,7.4171892097542065,7.4171892097542065,0.14503721125563115,0.14503721125563115,0.14503721125563115,-0.23032076409627183,-0.23032076409627183,-0.23032076409627183,0.375357975351903,0.375357975351903,0.375357975351903,0.0,0.0,0.0,7.5622264210098376
2010-02-22,7.457928565341628,-1.2325606765237742,16.185504707586,7.457928565341628,7.457928565341628,-0.24921815080720622,-0.24921815080720622,-0.24921815080720622,-0.06976821796435172,-0.06976821796435172,-0.06976821796435172,-0.17944993284285451,-0.17944993284285451,-0.17944993284285451,0.0,0.0,0.0,7.208710414534421
2010-02-23,7.471508350537436,-2.0022776339875255,16.431031551446758,7.471508350537436,7.471508350537436,-0.5409287021861424,-0.5409287021861424,-0.5409287021861424,-0.16578344534374165,-0.16578344534374165,-0.16578344534374165,-0.3751452568424008,-0.3751452568424008,-0.3751452568424008,0.0,0.0,0.0,6.930579648351293
2010-02-24,7.485088135733243,-2.4084184258290993,15.478819099448398,7.485088135733243,7.485088135733243,-0.6965126654039169,-0.6965126654039169,-0.6965126654039169,-0.12538603914602625,-0.12538603914602625,-0.12538603914602625,-0.5711266262578907,-0.5711266262578907,-0.5711266262578907,0.0,0.0,0.0,6.7885754703293255
2010-02-25,7.4986679209290505,-2.8567322752824,15.971509446561878,7.4986679209290505,7.4986679209290505,-0.9276111486946451,-0.9276111486946451,-0.9276111486946451,-0.16328355908751288,-0.16328355908751288,-0.16328355908751288,-0.7643275896071321,-0.7643275896071321,-0.7643275896071321,0.0,0.0,0.0,6.571056772234406
2010-02-26,7.512247706124857,-2.672989562346891,15.047806826208197,7.512247706124857,7.512247706124857,-1.1820852672219428,-1.1820852672219428,-1.1820852672219428,-0.23032076409597282,-0.23032076409597282,-0.23032076409597282,-0.95176450312597,-0.95176450312597,-0.95176450312597,0.0,0.0,0.0,6.330162438902914
2010-03-01,7.552987061712279,-2.423051185414902,15.118023332455156,7.552987061712279,7.552987061712279,-1.5219202004452963,-1.5219202004452963,-1.5219202004452963,-0.06976821796346021,-0.06976821796346021,-0.06976821796346021,-1.452151982481836,-1.452151982481836,-1.452151982481836,0.0,0.0,0.0,6.031066861266982
2010-03-02,7.566566846908087,-2.8008959935774063,14.296615667081664,7.566566846908087,7.566566846908087,-1.756183194368448,-1.756183194368448,-1.756183194368448,-0.16578344534355993,-0.16578344534355993,-0.16578344534355993,-1.5903997490248882,-1.5903997490248882,-1.5903997490248882,0.0,0.0,0.0,5.810383652539638
2010-03-03,7.580146632103894,-3.5897590272880113,14.45800414930951,7.580146632103894,7.580146632103894,-1.8365659030400616,-1.8365659030400616,-1.8365659030400616,-0.12538603914608812,-0.12538603914608812,-0.12538603914608812,-1.7111798638939737,-1.7111798638939737,-1.7111798638939737,0.0,0.0,0.0,5.743580729063832
2010-03-04,7.5937264172997,-3.3033501962157326,14.244458358601849,7.5937264172997,7.5937264172997,-1.976388142956075,-1.976388142956075,-1.976388142956075,-0.16328355908763506,-0.16328355908763506,-0.16328355908763506,-1.8131045838684399,-1.8131045838684399,-1.8131045838684399,0.0,0.0,0.0,5.617338274343625
2010-03-05,7.607306202495508,-3.603279736076451,13.704089010791396,7.607306202495508,7.607306202495508,-2.1254913430938847,-2.1254913430938847,-2.1254913430938847,-0.2303207640965476,-0.2303207640965476,-0.2303207640965476,-1.895170578997337,-1.895170578997337,-1.895170578997337,0.0,0.0,0.0,5.481814859401624
2010-03-08,7.648045558082931,-3.3470998733034865,14.32384652061106,7.648045558082931,7.648045558082931,-2.0878730762142417,-2.0878730762142417,-2.0878730762142417,-0.06976821796433308,-0.06976821796433308,-0.06976821796433308,-2.018104858249908,-2.018104858249908,-2.018104858249908,0.0,0.0,0.0,5.560172481868689
2010-03-09,7.661625343278737,-3.3295864537015984,14.328095990822362,7.661625343278737,7.661625343278737,-2.1843464818932534,-2.1843464818932534,-2.1843464818932534,-0.16578344534337822,-0.16578344534337822,-0.16578344534337822,-2.018563036549875,-2.018563036549875,-2.018563036549875,0.0,0.0,0.0,5.477278861385484
2010-03-10,7.675205128474545,-3.0880290778287454,14.516615203207625,7.675205128474545,7.675205128474545,-2.1253410168757596,-2.1253410168757596,-2.1253410168757596,-0.12538603914614999,-0.12538603914614999,-0.12538603914614999,-1.99995497772961,-1.99995497772961,-1.99995497772961,0.0,0.0,0.0,5.549864111598785
2010-03-11,7.688784913670352,-3.1637608614402177,14.53883479885674,7.688784913670352,7.688784913670352,-2.1267678136550425,-2.1267678136550425,-2.1267678136550425,-0.16328355908775732,-0.16328355908775732,-0.16328355908775732,-1.9634842545672853,-1.9634842545672853,-1.9634842545672853,0.0,0.0,0.0,5.562017100015309
2010-03-12,7.70236469886616,-2.942649544691453,14.191006804872387,7.70236469886616,7.70236469886616,-2.140948006084095,-2.140948006084095,-2.140948006084095,-0.23032076409712243,-0.23032076409712243,-0.23032076409712243,-1.9106272419869725,-1.9106272419869725,-1.9106272419869725,0.0,0.0,0.0,5.561416692782065
2010-03-15,7.743104054453581,-3.175303021138087,14.885347888209017,7.743104054453581,7.743104054453581,-1.741397509393979,-1.741397509393979,-1.741397509393979,-0.06976821796344157,-0.06976821796344157,-0.06976821796344157,-1.6716292914305375,-1.6716292914305375,-1.6716292914305375,0.0,0.0,0.0,6.001706545059601
2010-03-16,7.756683839649389,-2.877775859221021,14.398138259680415,7.756683839649389,7.756683839649389,-1.737592262009919,-1.737592262009919,-1.737592262009919,-0.1657834453435996,-0.1657834453435996,-0.1657834453435996,-1.5718088166663193,-1.5718088166663193,-1.5718088166663193,0.0,0.0,0.0,6.01909157763947
2010-03-17,7.770263624845195,-1.735908195986719,14.780354325505044,7.770263624845195,7.770263624845195,-1.5907875558001634,-1.5907875558001634,-1.5907875558001634,-0.12538603914620647,-0.12538603914620647,-0.12538603914620647,-1.4654015166539573,-1.4654015166539573,-1.4654015166539573,0.0,0.0,0.0,6.179476069045032
2010-03-18,7.783843410041003,-3.450259141942928,15.427618813037935,7.783843410041003,7.783843410041003,-1.5177749291145928,-1.5177749291145928,-1.5177749291145928,-0.16328355908756959,-0.16328355908756959,-0.16328355908756959,-1.3544913700270231,-1.3544913700270231,-1.3544913700270231,0.0,0.0,0.0,6.2660684809264104
2010-03-19,7.79742319523681,-2.645702426910679,15.522755920774413,7.79742319523681,7.79742319523681,-1.4714081958574157,-1.4714081958574157,-1.4714081958574157,-0.23032076409668847,-0.23032076409668847,-0.23032076409668847,-1.241087431760727,-1.241087431760727,-1.241087431760727,0.0,0.0,0.0,6.326014999379394
2010-03-22,7.838162550824232,-2.5730797446638674,15.950128306160261,7.838162550824232,7.838162550824232,-0.9737696936836736,-0.9737696936836736,-0.9737696936836736,-0.06976821796301308,-0.06976821796301308,-0.06976821796301308,-0.9040014757206606,-0.9040014757206606,-0.9040014757206606,0.0,0.0,0.0,6.864392857140558
2010-03-23,7.85174233602004,-2.2288726843515727,15.687459296151417,7.85174233602004,7.85174233602004,-0.9635873872904688,-0.9635873872904688,-0.9635873872904688,-0.16578344534326253,-0.16578344534326253,-0.16578344534326253,-0.7978039419472064,-0.7978039419472064,-0.7978039419472064,0.0,0.0,0.0,6.8881549487295715
2010-03-24,7.865322121215847,-1.390122006694533,16.35730102494016,7.865322121215847,7.865322121215847,-0.822093492202591,-0.822093492202591,-0.822093492202591,-0.12538603914600513,-0.12538603914600513,-0.12538603914600513,-0.6967074530565857,-0.6967074530565857,-0.6967074530565857,0.0,0.0,0.0,7.043228629013256
